Label,X,Y,Z,LWP,Rg,gs,An,Tleaf,Node
LII_4,46.74,13.57,164.24,-0.9451867481257719,105.62556251397365,0.1631529497151211,6.365417992555692,26.91243924201473,_ProxyNode(2041)
LII_5,56.89,8.7,160.55,-0.947341231392078,74.06884674395175,0.12223907956748373,4.537776222307546,26.74457790285486,_ProxyNode(2039)
LII_6,48.8,22.16,169.98,-0.9505316756581242,455.38933841446885,0.29669474368555104,12.218499484576768,27.722658511724745,_ProxyNode(2037)
LI_7,46.65,11.13,148.73,-0.9375862515806557,381.8589166673251,0.29254537004499026,11.957744626003205,27.411279264346685,_ProxyNode(2035)
LII_1,39.37,4.66,165.61,-0.9502378895831105,685.1802567121434,0.30709882388306453,12.506086900003325,28.893825680901337,_ProxyNode(2033)
LII_2,41.01,7.99,165.28,-0.9511812751847545,573.6282462463375,0.30401081328169755,12.427092891508636,28.579151220352088,_ProxyNode(2023)
LII_3,31.66,10.68,162.94,-0.9520672495368694,300.46734436319497,0.2871357154914073,11.858815002273502,27.508357413122766,_ProxyNode(2022)
LII_4,28.15,12.51,160.98,-0.9527016004991655,68.09824476846323,0.11298504993967906,4.1207345809535845,27.20581980323629,_ProxyNode(2020)
LII_5,27.37,21.22,162.05,-0.9538678272991338,355.14746587585716,0.28833367916766045,11.912730680712386,27.629905035422908,_ProxyNode(2018)
LI_8,41.48,-15.38,162.9,-0.9521118659024926,332.43365381607845,0.2890274151746874,11.99303063783006,27.004343399828247,_ProxyNode(2016)
LII_1,46.15,-3.5,175.38,-0.9597053473349566,377.03828852392695,0.28770588673870723,11.933042496108357,27.71812794220791,_ProxyNode(2014)
LII_2,40.44,-8.74,172.79,-0.9617027006470604,150.1976404787273,0.21018090124864047,8.57573577512916,26.86295630352663,_ProxyNode(2012)
LII_3,32.84,-12.03,175.39,-0.9638140175585359,404.99034804974013,0.2912599690366965,12.113907051686581,27.795574977826362,_ProxyNode(2002)
LII_4,42.51,-17.31,174.25,-0.9655069070832212,473.6122417992677,0.29886266866407113,12.44818052977098,27.814971498030932,_ProxyNode(2001)
LII_5,35.81,-17.04,173.53,-0.9670617374143844,350.7514254586685,0.29040812850716285,12.180559727253836,27.167708192158692,_ProxyNode(1999)
LI_9,49.82,12.58,169.01,-0.9600440731813227,287.4797731211607,0.27912333558761887,11.638225713658784,27.134154575825328,_ProxyNode(1997)
LII_1,50.37,4.95,182.62,-0.9642106763764098,606.1881171152575,0.29903704689617416,12.377700905412297,28.36229797120145,_ProxyNode(1995)
LII_2,47.8,11.7,182.78,-0.9660759681235034,643.5292537713012,0.30158195651942266,12.476922202266095,28.578036056321448,_ProxyNode(1987)
LII_3,49.28,15.3,181.17,-0.9677246282245392,450.7055731141561,0.29360845501462074,12.230940034085336,27.977735121147575,_ProxyNode(1986)
LII_4,50.96,20.5,180.95,-0.9695536317910355,701.4044682726853,0.3016805722971852,12.524716359080614,28.51380738152364,_ProxyNode(1984)
LII_5,51.13,24.82,180.9,-0.9707569816594543,673.9020755199632,0.3050224496766369,12.634273620538536,28.858976898837053,_ProxyNode(1978)
LI_10,47.29,-15.12,181.36,-0.9649484676430342,592.2482213876859,0.3036887522164352,12.624695765849935,27.986271329781985,_ProxyNode(1976)
LI_1,34.54,-2.52,102.88,-0.815857308611897,110.08730020470081,0.18604896660951037,6.600170452533305,27.421965757137624,_ProxyNode(1975)
LII_1,30.25,5.45,112.74,-0.8600397622924347,30.744728085243267,0.06130435327886794,1.5342950688583628,27.779893691691772,_ProxyNode(1973)
LII_2,31.86,4.47,110.63,-0.8602528190236585,47.466471503818624,0.08863878083422823,2.699174429160685,27.692416756400064,_ProxyNode(1971)
LI_2,35.19,5.57,109.86,-0.8598596910710499,27.808442452935864,0.05631073636044617,1.3037176971062543,27.97352754180594,_ProxyNode(1969)
LII_1,34.74,3.5,117.62,-0.9288901450001317,32.83993662859987,0.06175430120428363,1.6751695106909494,27.822065857230413,_ProxyNode(1967)
LII_2,35.66,8.49,115.33,-0.929066103445656,15.003481408115054,0.03376712685116772,0.43811824755319506,27.87987117835089,_ProxyNode(1958)
LII_3,42.72,3.67,111.06,-0.9293207320844945,85.4716934180039,0.13915613301324478,5.151793965773752,27.47846066705808,_ProxyNode(1957)
LII_4,38.53,13.49,107.58,-0.9293812967744817,80.50314070220304,0.1323058983091296,4.861939575997884,27.464150696346778,_ProxyNode(1955)
LI_3,24.17,-6.4,122.33,-0.9288826589129232,134.33847988049908,0.19959222379638517,7.82736012879807,27.234939857487678,_ProxyNode(1953)
LII_1,26.21,3.29,125.37,-0.9787012400718931,45.45194573372293,0.0782168810343342,2.6031785814147455,27.632453632227246,_ProxyNode(1951)
LII_2,27.19,3.73,119.44,-0.9820937976047615,28.591349343515848,0.05294567347221912,1.3948398430296436,27.85531609580238,_ProxyNode(1949)
LII_3,25.73,9.38,116.52,-0.9856550476070784,162.04583094185276,0.21377535351112173,8.91465162297811,27.452662094753002,_ProxyNode(1940)
LII_4,21.47,7.96,112.42,-0.9889290455632287,240.4425585518478,0.27301465518540957,11.60575560877724,27.632280652153327,_ProxyNode(1939)
LII_5,19.52,16.16,112.35,-0.9922081531053555,566.1535442384295,0.29478615080416665,12.409094638017962,29.030383478287586,_ProxyNode(1937)
LII_6,24.04,8.72,100.62,-0.9939155675886374,228.79599447136133,0.2659512160381192,11.313175040165092,27.76824218637503,_ProxyNode(1935)
LI_4,31.62,6.53,126.22,-0.9756348562192577,53.99015458109922,0.09081617808957104,3.1330593216195517,27.496900701489935,_ProxyNode(1933)
LII_1,29.77,5.99,134.62,-1.024278767371746,115.8466537390639,0.1635762410008389,6.838808586466769,27.208808352232435,_ProxyNode(1931)
LII_2,27.88,8.94,130.56,-1.0281419090891144,235.6951597907186,0.26064764506867566,11.505132090136826,27.179866543734693,_ProxyNode(1922)
LII_3,33.58,12.85,127.36,-1.0319329697620612,328.1359901877051,0.265786108923516,11.738398002806449,27.610321470400322,_ProxyNode(1921)
LII_4,34.49,16.69,125.53,-1.0355881948847148,409.2010844498958,0.26700200846015426,11.773420619728,28.145163454118386,_ProxyNode(1919)
LII_5,34.77,21.03,121.1,-1.0387428404662877,412.1613088303174,0.2648374452571989,11.690255584116443,28.330544740415892,_ProxyNode(1917)
LII_6,30.4,23.77,115.93,-1.0414414557875724,548.2555681207375,0.2758570710134711,12.138292720426449,28.958345589788134,_ProxyNode(1915)
LI_5,25.6,-8.01,132.89,-1.021732134527145,212.12947778387598,0.24934310748768948,10.881186952903608,27.234859138028487,_ProxyNode(1913)
LII_1,28.33,4.31,140.82,-1.048581249671442,98.95538369438458,0.14064527203641083,5.895392989685927,27.35900388234144,_ProxyNode(1911)
LII_2,26.27,5.43,136.98,-1.0507974870853118,88.90255290916541,0.12891394937082065,5.318818244382943,27.308653219158508,_ProxyNode(1901)
LII_3,27.19,7.26,130.42,-1.053069358493892,160.94831696071904,0.20113293241762348,8.901683020032092,27.245627947792578,_ProxyNode(1900)
LII_4,28.37,3.33,124.06,-1.0550675814968895,145.41601866475105,0.18626477289477597,8.187387151136928,27.462623318043057,_ProxyNode(1898)
LII_5,30.46,12.17,121.96,-1.057134760648074,306.4881434915802,0.2534567138249659,11.425794286617304,27.87998729705702,_ProxyNode(1896)
LII_6,35.48,6.65,117.43,-1.0575044858215108,80.3557676975121,0.11743802129723822,4.806723564123587,27.511623265210048,_ProxyNode(1894)
LI_6,35.46,12.85,146.57,-1.048369724801843,118.21321919616443,0.1622706121415336,6.9621230189915515,27.067131791254724,_ProxyNode(1892)
LII_1,26.27,3.99,155.46,-1.071386745230085,77.05098382732714,0.11208126338932084,4.5866879417190525,27.431571415825477,_ProxyNode(1890)
LII_2,25.9,4.91,156.65,-1.0729410588608097,42.906628990445235,0.06815034986855517,2.332482689474425,27.779632938708485,_ProxyNode(1880)
LII_3,27.34,9.08,161.1,-1.0745283503098724,32.72371499893935,0.05461719802649987,1.6800272470660325,27.483374956789458,_ProxyNode(1879)
LII_4,23.88,11.61,161.52,-1.0760432152722472,93.1618205372836,0.1298933259595898,5.5698808432708695,27.301441153316446,_ProxyNode(1877)
LII_5,20.65,11.98,168.45,-1.0777633713859918,196.71947931733715,0.22306851492619495,10.231770995628416,27.202619262541557,_ProxyNode(1875)
LI_7,21.26,-6.31,144.28,-1.0722039436660038,184.99805909496177,0.21630486143185734,9.874391927779449,26.787833727085953,_ProxyNode(1873)
LII_1,27.35,3.67,161.35,-1.0866765545638644,53.39380914705934,0.0809534213338508,3.074139433665419,27.620515245964093,_ProxyNode(1871)
